VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/15/2015 19:05,1/15/2015 19:23,1,1.59,-73.99389648,40.75011063,1,N,-73.97478485,40.75061798,1,12,1,0.5,3.25,0,0.3,17.05
1,1/10/2015 20:33,1/10/2015 20:53,1,3.3,-74.00164795,40.72424316,1,N,-73.99441528,40.7591095,1,14.5,0.5,0.5,2,0,0.3,17.8
1,1/10/2015 20:33,1/10/2015 20:43,1,1.8,-73.96334076,40.80278778,1,N,-73.95182037,40.8244133,2,9.5,0.5,0.5,0,0,0.3,10.8
1,1/10/2015 20:33,1/10/2015 20:35,1,0.5,-74.00908661,40.7138176,1,N,-74.00432587,40.71998596,2,3.5,0.5,0.5,0,0,0.3,4.8
1,1/10/2015 20:33,1/10/2015 20:52,1,3,-73.97117615,40.76242828,1,N,-74.00418091,40.74265289,2,15,0.5,0.5,0,0,0.3,16.3
1,1/10/2015 20:33,1/10/2015 20:53,1,9,-73.87437439,40.77404785,1,N,-73.98697662,40.75819397,1,27,0.5,0.5,6.7,5.33,0.3,40.33
1,1/10/2015 20:33,1/10/2015 20:58,1,2.2,-73.98327637,40.72600937,1,N,-73.99246979,40.74963379,2,14,0.5,0.5,0,0,0.3,15.3
1,1/10/2015 20:33,1/10/2015 20:42,3,0.8,-74.00266266,40.7341423,1,N,-73.99501038,40.72632599,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/10/2015 20:33,1/10/2015 21:11,3,18.2,-73.78304291,40.64435577,2,N,-73.9875946,40.75935745,2,52,0,0.5,0,5.33,0.3,58.13
1,1/10/2015 20:33,1/10/2015 20:40,2,0.9,-73.98558807,40.76794815,1,N,-73.98591614,40.75936508,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,1/10/2015 20:33,1/10/2015 20:41,1,0.9,-73.98861694,40.72310257,1,N,-74.00439453,40.72858429,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/10/2015 20:33,1/10/2015 20:43,1,1.1,-73.99378204,40.75141907,1,N,-73.96740723,40.75721741,1,7.5,0.5,0.5,1,0,0.3,9.8
1,1/10/2015 20:33,1/10/2015 20:35,1,0.3,-74.00836182,40.70437622,1,N,-74.00977325,40.70772552,2,3,0.5,0.5,0,0,0.3,4.3
1,1/10/2015 20:33,1/10/2015 21:03,1,3.1,-73.97394562,40.76044846,1,N,-73.99734497,40.73521042,1,19,0.5,0.5,3,0,0.3,23.3
1,1/10/2015 20:33,1/10/2015 20:39,1,1.1,-74.0067215,40.73177719,1,N,-73.99521637,40.73989487,2,6,0.5,0.5,0,0,0.3,7.3
2,1/15/2015 19:05,1/15/2015 19:32,1,2.38,-73.97642517,40.73981094,1,N,-73.98397827,40.75788879,1,16.5,1,0.5,4.38,0,0.3,22.68
2,1/15/2015 19:05,1/15/2015 19:21,5,2.83,-73.96870422,40.75424576,1,N,-73.9551239,40.7868576,2,12.5,1,0.5,0,0,0.3,14.3
